,Time,Conc (mg/m3),Qtot (m3),WS (MPS),RH (%),AT (C),Latitude,longitude,hour,day,day_of_week,month,day_of_year,weekday_weekend,Conc(ug/m3)
0,2021-12-15 00:00:00,0.011,0.7,9.7,43,18.3,1.278822,36.817281,0,15,2,12,349,1,11.0
1,2021-12-15 01:00:00,0.009,0.7,9.7,44,18.1,1.278822,36.817281,1,15,2,12,349,1,9.0
2,2021-12-15 02:00:00,0.018,0.7,9.8,44,18.1,1.278822,36.817281,2,15,2,12,349,1,18.0
3,2021-12-15 03:00:00,0.015,0.7,9.8,44,18.2,1.278822,36.817281,3,15,2,12,349,1,15.0
4,2021-12-15 04:00:00,0.011,0.7,9.9,44,17.9,1.278822,36.817281,4,15,2,12,349,1,11.0
5,2021-12-15 05:00:00,0.009,0.7,9.9,44,17.7,1.278822,36.817281,5,15,2,12,349,1,9.0
6,2021-12-15 06:00:00,0.011,0.7,9.9,44,17.7,1.278822,36.817281,6,15,2,12,349,1,11.0
7,2021-12-15 07:00:00,0.014,0.7,10.0,44,17.9,1.278822,36.817281,7,15,2,12,349,1,14.0
8,2021-12-15 08:00:00,0.022,0.701,10.1,44,17.3,1.278822,36.817281,8,15,2,12,349,1,22.0
9,2021-12-15 09:00:00,0.036,0.7,10.1,44,17.8,1.278822,36.817281,9,15,2,12,349,1,36.0
10,2021-12-15 10:00:00,0.025,0.7,10.2,44,18.9,1.278822,36.817281,10,15,2,12,349,1,25.0
11,2021-12-15 11:00:00,0.021,0.701,10.2,42,20.2,1.278822,36.817281,11,15,2,12,349,1,21.0
12,2021-12-15 12:00:00,0.012,0.701,10.3,43,20.6,1.278822,36.817281,12,15,2,12,349,1,12.0
13,2021-12-15 13:00:00,0.006,0.701,10.2,43,21.1,1.278822,36.817281,13,15,2,12,349,1,6.0
14,2021-12-15 14:00:00,0.006,0.7,10.3,43,23.5,1.278822,36.817281,14,15,2,12,349,1,6.0
15,2021-12-15 15:00:00,0.006,0.7,10.3,41,24.3,1.278822,36.817281,15,15,2,12,349,1,6.0
16,2021-12-15 16:00:00,0.017,0.701,10.2,41,22.5,1.278822,36.817281,16,15,2,12,349,1,17.0
17,2021-12-15 17:00:00,0.016,0.701,10.2,42,22.7,1.278822,36.817281,17,15,2,12,349,1,16.0
18,2021-12-15 18:00:00,0.018,0.7,10.2,44,21.8,1.278822,36.817281,18,15,2,12,349,1,18.0
19,2021-12-15 19:00:00,0.02,0.7,10.1,43,20.7,1.278822,36.817281,19,15,2,12,349,1,20.0
20,2021-12-15 20:00:00,0.029,0.7,9.9,43,19.7,1.278822,36.817281,20,15,2,12,349,1,29.0
21,2021-12-15 21:00:00,0.017,0.7,9.9,44,19.0,1.278822,36.817281,21,15,2,12,349,1,17.0
22,2021-12-15 22:00:00,0.015,0.7,9.9,44,18.9,1.278822,36.817281,22,15,2,12,349,1,15.0
23,2021-12-15 23:00:00,0.015,0.701,9.8,43,18.7,1.278822,36.817281,23,15,2,12,349,1,15.0
24,2021-12-16 00:00:00,0.012,0.7,9.9,44,18.3,1.278822,36.817281,0,16,3,12,350,1,12.0
25,2021-12-16 01:00:00,0.012,0.7,9.9,44,17.9,1.278822,36.817281,1,16,3,12,350,1,12.0
26,2021-12-16 02:00:00,0.01,0.7,10.0,44,17.9,1.278822,36.817281,2,16,3,12,350,1,10.0
27,2021-12-16 03:00:00,0.009,0.7,10.0,44,17.7,1.278822,36.817281,3,16,3,12,350,1,9.0
28,2021-12-16 04:00:00,0.007,0.7,10.0,44,17.3,1.278822,36.817281,4,16,3,12,350,1,7.0
29,2021-12-16 05:00:00,0.007,0.701,10.1,44,17.3,1.278822,36.817281,5,16,3,12,350,1,7.0
662,2022-01-11 14:00:00,0.025,0.702,10.0,30,26.0,1.278822,36.817281,14,11,1,1,11,1,25.0
663,2022-01-11 15:00:00,0.016,0.7,10.0,28,25.9,1.278822,36.817281,15,11,1,1,11,1,16.0
