,Time,Conc (mg/m3),Qtot (m3),WS (MPS),RH (%),AT (C),hour,day,day_of_week,month,day_of_year,weekday_weekend
0,2021-12-14 16:00:00,0.018,0.7,10.1,42,23.3,16,14,1,12,348,1
1,2021-12-14 17:00:00,0.017,0.7,10.0,44,22.8,17,14,1,12,348,1
2,2021-12-14 18:00:00,0.02,0.701,9.9,43,21.5,18,14,1,12,348,1
3,2021-12-14 19:00:00,0.024,0.701,9.8,43,20.1,19,14,1,12,348,1
4,2021-12-14 20:00:00,0.026,0.7,9.8,43,19.8,20,14,1,12,348,1
5,2021-12-14 21:00:00,0.017,0.7,9.7,43,19.0,21,14,1,12,348,1
6,2021-12-14 22:00:00,0.02,0.701,9.7,43,18.7,22,14,1,12,348,1
7,2021-12-14 23:00:00,0.013,0.7,9.7,43,18.5,23,14,1,12,348,1
8,2021-12-15 00:00:00,0.011,0.7,9.7,43,18.3,0,15,2,12,349,1
9,2021-12-15 01:00:00,0.009,0.7,9.7,44,18.1,1,15,2,12,349,1
10,2021-12-15 02:00:00,0.018,0.7,9.8,44,18.1,2,15,2,12,349,1
11,2021-12-15 03:00:00,0.015,0.7,9.8,44,18.2,3,15,2,12,349,1
12,2021-12-15 04:00:00,0.011,0.7,9.9,44,17.9,4,15,2,12,349,1
13,2021-12-15 05:00:00,0.009,0.7,9.9,44,17.7,5,15,2,12,349,1
14,2021-12-15 06:00:00,0.011,0.7,9.9,44,17.7,6,15,2,12,349,1
15,2021-12-15 07:00:00,0.014,0.7,10.0,44,17.9,7,15,2,12,349,1
16,2021-12-15 08:00:00,0.022,0.701,10.1,44,17.3,8,15,2,12,349,1
17,2021-12-15 09:00:00,0.036,0.7,10.1,44,17.8,9,15,2,12,349,1
18,2021-12-15 10:00:00,0.025,0.7,10.2,44,18.9,10,15,2,12,349,1
19,2021-12-15 11:00:00,0.021,0.701,10.2,42,20.2,11,15,2,12,349,1
20,2021-12-15 12:00:00,0.012,0.701,10.3,43,20.6,12,15,2,12,349,1
21,2021-12-15 13:00:00,0.006,0.701,10.2,43,21.1,13,15,2,12,349,1
