Time,Conc (mg/m3),Qtot (m3),no (V),WS (MPS),WS (MPS),RH (%),WS (KPH),AT (C),Stab (ug),Ref (ug),E,U,M,I,L,R,N,F,P,D,C,T,,
2022-05-01 17:00:00,0.985,0,0.444,10.1,7.7,32,79.4,21.8,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 18:00:00,0.985,0,0.441,10,7.6,32,79.2,19.7,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 19:00:00,0.985,0,0.44,9.9,7.5,32,79.1,19.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 20:00:00,0.985,0,0.438,9.9,7.5,32,79.1,20,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 21:00:00,0.985,0,0.438,9.9,7.5,32,79,20.4,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 22:00:00,0.985,0,0.439,9.9,7.5,32,79.1,20.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-01 23:00:00,0.985,0,0.44,9.9,7.5,32,79.1,20.3,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 00:00:00,0.985,0,0.441,10,7.5,32,79.1,19.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 01:00:00,0.985,0,0.443,10,7.6,32,79.2,19.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 02:00:00,0.985,0,0.444,10.1,7.6,32,79.3,19.3,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 03:00:00,0.985,0,0.446,10.2,7.7,32,79.3,18.6,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 04:00:00,0.985,0,0.447,10.2,7.7,32,79.4,18.2,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 05:00:00,0.985,0,0.449,10.3,7.8,32,79.5,18.1,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 06:00:00,0.985,0,0.451,10.3,7.9,32,79.5,18.3,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 07:00:00,0.985,0,0.453,10.4,7.9,32,79.6,18.4,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 08:00:00,0.985,0,0.455,10.5,8,32,79.7,18.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 09:00:00,0.985,0,0.457,10.6,8.1,32,79.8,19,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 10:00:00,0.985,0,0.458,10.6,8.1,32,79.8,21,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 11:00:00,0.985,0,0.459,10.6,8.1,32,79.9,22.3,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 12:00:00,0.985,0,0.46,10.7,8.1,32,79.9,22.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 13:00:00,0.985,0,0.459,10.6,8.1,32,79.9,24.2,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 14:00:00,0.985,0,0.458,10.6,8.1,32,79.9,24.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 15:00:00,0.985,0,0.455,10.5,8,32,79.9,26.1,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 16:00:00,0.985,0,0.453,10.5,8,32,79.8,26.6,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 17:00:00,0.985,0,0.45,10.3,7.9,32,79.7,25.8,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 18:00:00,0.985,0,0.447,10.3,7.8,32,79.6,24.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 19:00:00,0.985,0,0.446,10.2,7.7,32,79.5,23,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 20:00:00,0.985,0,0.444,10.1,7.7,32,79.4,21.8,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 21:00:00,0.985,0,0.443,10,7.6,32,79.3,21.4,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 22:00:00,0.985,0,0.441,10,7.6,32,79.2,21,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-02 23:00:00,0.985,0,0.441,10,7.5,32,79.2,20.5,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 00:00:00,0.985,0,0.442,10,7.6,32,79.2,20.1,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 01:00:00,0.985,0,0.443,10,7.6,32,79.2,19.4,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 02:00:00,0.985,0,0.444,10.1,7.6,31,79.3,19,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 03:00:00,0.985,0,0.446,10.2,0.172,31,0.493,18.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 04:00:00,0.985,0,0.447,10.2,0.173,31,0.493,18.9,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
2022-05-03 05:00:00,0.985,0,0.449,10.3,0.175,31,0.494,18.2,204.7,0,0,0,0,0,0,0,0,0,0,0,0,1,,
