Time,Conc (mg/m3),Qtot (m3),WS (MPS),no (V),no (V),RH (%),no (V),AT (C),Stab (ug),Ref (ug),E,U,M,I,L,R,N,F,P,D,C,T,,
2022-10-06 12:00:00,0.037,0.7,18.6,0.228,0.179,40,0.492,21.5,1.1,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 13:00:00,0.044,0.7,18.1,0.221,0.174,38,0.488,22.9,0.1,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 14:00:00,0.024,0.7,17.5,0.206,0.161,36,0.482,24.1,0.3,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 15:00:00,0.018,0.7,17.1,0.199,0.155,33,0.477,25.5,0.6,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 16:00:00,0.016,0.7,16.8,0.194,0.151,31,0.473,26,-1.9,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 17:00:00,0.018,0.7,16.5,0.189,0.147,30,0.467,25.6,-0.9,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 18:00:00,0.022,0.7,16.2,0.184,0.142,30,0.462,24.3,0.4,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 19:00:00,0.03,0.7,16,0.179,0.139,30,0.456,22.6,0.3,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 20:00:00,0.037,0.7,15.8,0.175,0.136,30,0.452,21.6,0.9,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 21:00:00,0.026,0.7,15.7,0.172,0.132,30,0.447,20.9,1.1,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 22:00:00,0.024,0.7,15.6,0.17,0.131,30,0.444,20.4,0.1,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-06 23:00:00,0.018,0.7,15.5,0.169,0.129,30,0.443,19.7,-0.4,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 00:00:00,0.011,0.7,15.5,0.168,0.129,31,0.441,19.1,0.4,781.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 01:00:00,0.007,0.7,15.5,0.168,0.129,32,0.441,18.1,0.9,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 02:00:00,0.012,0.7,15.5,0.169,0.129,33,0.441,17.4,-1,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 03:00:00,0.013,0.7,15.6,0.17,0.131,34,0.443,17,-1.8,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 04:00:00,0.01,0.702,15.7,0.171,0.131,35,0.444,16.6,1.5,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 05:00:00,0.011,0.701,15.8,0.173,0.133,35,0.446,16.7,-1.8,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 06:00:00,0.013,0.7,15.9,0.175,0.134,35,0.447,16.7,2.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 07:00:00,0.024,0.7,15.9,0.176,0.135,36,0.449,16.5,-0.4,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 08:00:00,0.029,0.7,15.9,0.176,0.136,35,0.451,18.3,0.3,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 09:00:00,0.018,0.701,16,0.178,0.137,33,0.453,19,-1.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 10:00:00,0.021,0.7,16.1,0.179,0.139,33,0.455,20.6,2.8,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 11:00:00,0.015,0.7,16.1,0.18,0.139,31,0.457,21.8,0.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 12:00:00,0.016,0.701,16.1,0.18,0.139,28,0.457,23.3,-0.3,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 13:00:00,0.019,0.701,16.1,0.179,0.139,27,0.457,25,-0.1,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 14:00:00,0.017,0.701,15.9,0.177,0.136,26,0.455,25.9,-2.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 15:00:00,0.055,0.701,15.7,0.173,0.134,26,0.451,26.3,2.1,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 16:00:00,0.018,0.7,15.5,0.169,0.13,26,0.445,26.2,0.8,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 17:00:00,0.025,0.7,15.3,0.165,0.126,26,0.439,24.9,-1.1,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 18:00:00,0.032,0.701,15,0.161,0.123,27,0.433,23.3,-0.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 19:00:00,0.027,0.7,14.8,0.158,0.12,27,0.427,21.9,1.1,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 20:00:00,0.03,0.7,14.7,0.154,0.118,25,0.424,22,1.4,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 21:00:00,0.022,0.7,14.5,0.152,0.116,25,0.419,21.4,-0.4,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 22:00:00,0.024,0.7,14.5,0.15,0.115,24,0.417,20.5,0.6,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-07 23:00:00,0.024,0.7,14.4,0.15,0.115,24,0.416,19.8,1.2,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 00:00:00,0.01,0.7,14.5,0.15,0.115,26,0.416,18.7,0.7,780.7,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 01:00:00,0.01,0.7,0.325,6.8,0.115,27,0.417,17.6,0.8,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 02:00:00,0.015,0.701,0.327,6.8,0.116,29,0.418,17,-1.8,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 03:00:00,0.009,0.701,0.329,6.9,0.118,30,0.421,16.7,1.1,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 04:00:00,0.01,0.7,0.332,7,0.119,29,0.423,16.5,-0.2,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 05:00:00,0.014,0.7,0.333,7.1,0.121,29,0.426,16.2,0.3,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 06:00:00,0.011,0.7,0.336,7.2,0.122,29,0.429,15.7,1.9,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 07:00:00,0.014,0.7,0.339,7.3,0.124,29,0.431,15.4,2.8,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 08:00:00,0.011,0.7,0.341,7.3,0.126,30,0.434,15.7,2.4,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 09:00:00,0.014,0.702,0.344,7.4,0.127,30,0.437,17.7,1.8,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 10:00:00,0.018,0.7,0.346,7.5,0.129,29,0.441,19.9,1.3,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 11:00:00,0.019,0.701,0.348,7.6,0.13,28,0.444,22,-0.8,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 12:00:00,0.019,0.7,0.347,7.6,0.131,27,0.445,23.4,-0.1,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 13:00:00,0.015,0.7,0.347,7.6,0.13,26,0.444,24.2,0.7,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 14:00:00,0.014,0.701,0.345,7.5,0.128,24,0.442,25.4,-0.3,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 15:00:00,0.014,0.7,0.339,7.3,0.125,22,0.438,26.3,-1.5,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 16:00:00,0.017,0.7,0.333,7.1,0.122,22,0.432,25.2,-1.1,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 17:00:00,0.031,0.7,0.33,7,0.12,22,0.427,24.2,2.5,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 18:00:00,0.043,0.7,0.324,6.8,0.117,21,0.421,23.8,0.3,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-10-08 19:00:00,0.039,0.7,0.32,6.7,0.114,21,0.416,23.2,-0.9,783.1,0,0,0,0,0,0,0,0,0,0,0,0,,
