Time,Conc (mg/m3),Qtot (m3),no (V),WS (MPS),WS (MPS),RH (%),WS (KPH),AT (C),Stab (ug),Ref (ug),E,U,M,I,L,R,N,F,P,D,C,T,,
2022-09-01 13:00:00,0.03,0.7,0.366,8.3,6.4,27,74.2,22.3,-1.9,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 14:00:00,0.034,0.7,0.364,8.2,6.3,27,74.1,23.7,-0.4,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 15:00:00,0.033,0.7,0.361,8.1,6.2,26,73.7,24.7,1.6,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 16:00:00,0.026,0.7,0.357,8,6.2,26,73.2,25.1,-0.5,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 17:00:00,0.022,0.7,0.353,7.8,6,25,72.4,25.4,-0.2,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 18:00:00,0.019,0.7,0.347,7.6,5.8,25,71.5,24.7,1.4,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 19:00:00,0.027,0.7,0.343,7.5,5.7,25,70.7,22.8,1.1,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 20:00:00,0.031,0.7,0.341,7.4,5.6,27,70.1,21,-0.5,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 21:00:00,0.069,0.7,0.336,7.3,5.6,27,69.6,20.2,0.2,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 22:00:00,0.037,0.7,0.335,7.2,5.5,25,69.3,19.7,1.4,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-01 23:00:00,0.029,0.7,0.335,7.2,5.5,26,69,18.2,-1,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 00:00:00,0.018,0.701,0.335,7.2,5.5,27,68.9,17,0.6,782.3,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 01:00:00,0.016,0.7,0.335,7.2,5.5,28,69,16.1,1.1,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 02:00:00,0.018,0.7,0.336,7.2,5.5,29,69.1,15.5,0.5,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 03:00:00,0.018,0.701,0.339,7.3,5.6,29,69.4,15.1,1.7,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 04:00:00,0.016,0.7,0.342,7.4,5.6,30,69.7,14.6,-0.2,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 05:00:00,0.019,0.7,0.344,7.5,5.7,30,70.2,14.8,-0.5,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 06:00:00,0.026,0.7,0.348,7.6,5.8,30,70.8,15.3,-0.5,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 07:00:00,0.027,0.7,0.35,7.7,5.9,31,71.3,15,1.8,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 08:00:00,0.024,0.7,0.355,7.8,6,31,71.8,15.3,2.1,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 09:00:00,0.027,0.7,0.357,7.9,6.1,32,72.4,15.8,-0.8,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 10:00:00,0.039,0.7,0.36,8,6.2,32,72.9,16.4,1.3,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-09-02 11:00:00,0.047,0.7,0.362,8.1,6.3,33,73.3,17,1.8,782.9,0,0,0,0,0,0,0,0,0,0,0,0,,
