Time,Conc (mg/m3),Qtot (m3),no (V),WS (MPS),no (V),RH (%),no (V),AT (C),Stab (ug),Ref (ug),E,U,M,I,L,R,N,F,P,D,C,T,,
2022-08-03 13:00:00,0.013,0.701,0.468,12.3,0.222,42,0.501,17.2,0.3,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 14:00:00,0.019,0.7,0.46,12,0.216,43,0.5,18.1,-0.5,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 15:00:00,0.019,0.7,0.445,11.3,0.202,42,0.498,18.8,-0.2,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 16:00:00,0.021,0.7,0.443,11.2,0.2,41,0.498,19.5,0,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 17:00:00,0.024,0.7,0.44,11.1,0.198,40,0.498,19.6,-2.8,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 18:00:00,0.03,0.7,0.4,11,0.2,41,0.496,18.9,0.1,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 19:00:00,0.036,0.7,69.7,10.9,8.7,43,0.496,17.8,-1.2,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 20:00:00,0.054,0.7,69.2,10.8,8.5,44,0.495,17,0.1,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 21:00:00,0.058,0.7,68.6,10.6,8.4,44,0.495,16.4,0.4,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 22:00:00,0.053,0.7,68,10.5,8.3,43,0.494,16.5,-0.8,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-03 23:00:00,0.051,0.7,67.9,10.4,8.2,44,0.493,16.6,0.5,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 00:00:00,0.082,0.7,68,10.4,8.2,43,0.493,16.6,-2.9,782.4,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 01:00:00,0.028,0.7,68.2,10.4,8.2,43,0.493,16.2,-1.2,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 02:00:00,0.011,0.7,68.2,10.4,8.2,43,0.493,15.8,-1.5,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 03:00:00,0.013,0.7,68.1,10.4,8.2,44,0.493,15.5,0.4,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 04:00:00,0.015,0.7,67.9,10.4,8.2,44,0.493,15.2,1.2,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 05:00:00,0.012,0.7,67.9,10.4,8.2,44,0.493,15,2.1,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 06:00:00,0.014,0.701,68,10.4,8.2,43,0.493,15.1,1.4,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 07:00:00,0.016,0.701,67.9,10.4,8.2,43,0.493,15.2,0.4,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
2022-08-04 08:00:00,0.025,0.7,68.2,10.5,8.3,44,0.493,15.2,0.2,780.2,0,0,0,0,0,0,0,0,0,0,0,0,,
